source_id,primary_rq,secondary_rqs,decision,reason,reviewer_id
"FRV2-A-015","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified 9-day sample plan and 10-day mention only; no implemented cohort or outcome. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-016","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified 10-day plan only; event-indirect and no athlete sample or outcome. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-A-017","RQ-A","","INCLUDE","Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: Verified self-report of a 10-day cycle; corrects a conflicting 9-day overview and permits no causal attribution. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false","AI_SCREEN_LANE_1"
"FRV2-B-001","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Direct adolescent-runner biochemical time course; all-out 21 km; 2 h 4 h 24 h; not middle-distance direct.","AI_SCREEN_LANE_1"
"FRV2-B-002","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Direct adolescent-runner biochemical time course; all-out 21 km; 2 h 4 h 24 h; no clearance inference.","AI_SCREEN_LANE_1"
"FRV2-B-003","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth indirect; 1-day and 2-day mixed-modality races; marker-specific 24-72 h time course.","AI_SCREEN_LANE_1"
"FRV2-B-004","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; force at post 24 h 48 h 72 h; no subsequent training; large individual variability.","AI_SCREEN_LANE_1"
"FRV2-B-005","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; static-stretch versus passive recovery; pre post 48 h; intervention confounds natural kinetics.","AI_SCREEN_LANE_1"
"FRV2-B-006","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; objective and subjective outcomes diverge at 24-48 h.","AI_SCREEN_LANE_1"
"FRV2-B-007","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; complete versus reduced training at 48 h; 72-h state includes intervening load.","AI_SCREEN_LANE_1"
"FRV2-B-009","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; fixed-order crossover; selected markers at 24 h 48 h 72 h; no safety inference.","AI_SCREEN_LANE_1"
"FRV2-B-010","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth indirect review; peak strength soreness and CK effects beyond 24 h; not a session-specific interval study.","AI_SCREEN_LANE_1"
"FRV2-B-011","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Runner direct but adult; two treadmill 1500-m trials 24 h apart; performance-specific counterevidence only.","AI_SCREEN_LANE_1"
"FRV2-B-013","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Runner direct but adult; 60-min downhill run; gait CK pain and MRI at post 24 h 48 h.","AI_SCREEN_LANE_1"
"FRV2-B-014","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Runner direct but adult; two downhill bouts; post 24 h 48 h 72 h 96 h 168 h; explicit soreness beyond 72 h.","AI_SCREEN_LANE_1"
"FRV2-B-019","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Indirect cycling; repeated sessions separated by 24 h or 48 h; performance and neuromuscular markers disagree at 24 h.","AI_SCREEN_LANE_1"
"FRV2-B-020","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Indirect review; 20 studies; sprint COD CMJ CK and DOMS through 72 h; high heterogeneity.","AI_SCREEN_LANE_1"
"FRV2-B-022","RQ-B","","INCLUDE","Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Indirect review; 28 studies; performance and biochemical time courses to 144 h; full text available but not inspected in this extraction.","AI_SCREEN_LANE_1"
"FRV2-C-002","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Twice-weekly plyometric sprint and resistance work supported economy and strength signals; sequence and running separation were not reported in the abstract.","AI_SCREEN_LANE_1"
"FRV2-C-003","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Nineteen percent of endurance training was replaced by explosive work; speed improved while VO2max and economy were unchanged; scheduling was not reported.","AI_SCREEN_LANE_1"
"FRV2-C-004","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Tiny null/adverse signal; resistance frequency conflicts between abstract and review table; order and separation remain unresolved.","AI_SCREEN_LANE_1"
"FRV2-C-005","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Six depth jumps followed by 10 min passive recovery improved acute running economy but not time to exhaustion; chronic scheduling transfer is unsupported.","AI_SCREEN_LANE_1"
"FRV2-C-007","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Morning endurance and afternoon strength plus heavy-to-plyometric complex pairs improved several outcomes; AM-PM hours and reverse order were not tested.","AI_SCREEN_LANE_1"
"FRV2-C-010","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Speed endurance preceded heavy resistance in the same session while running volume was reduced; outcomes improved but reverse order was not tested.","AI_SCREEN_LANE_1"
"FRV2-C-011","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Hill component evidence showed no clearly superior program for 5 km performance and did not test placement relative to strength or plyometrics.","AI_SCREEN_LANE_1"
"FRV2-C-012","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Small run-versus-cycle HIIT trial; habitual-training placement was not standardized and cycling cannot be inferred to be equivalent or lower fatigue.","AI_SCREEN_LANE_1"
"FRV2-C-013","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Pooled VO2max and running-performance effects were null with wide intervals; modality equivalence recovery benefit and placement are unsupported.","AI_SCREEN_LANE_1"
"FRV2-C-015","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Maximal strength and hypertrophy were null overall while explosive strength showed a small same-session interference signal; adult subgroup bins are not youth thresholds.","AI_SCREEN_LANE_1"
"FRV2-C-016","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Resistance-before-endurance favored dynamic strength only; aerobic hypertrophy and static strength outcomes were null and do not support a universal order.","AI_SCREEN_LANE_1"
"FRV2-C-018","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Resistance always preceded aerobic work with 0 h 6 h or 24 h separation; one indirect team-sport trial cannot define a youth threshold.","AI_SCREEN_LANE_1"
"FRV2-C-019","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Immediate endurance-resistance order did not alter most adaptations; rehabilitation and detraining make transfer to trained youth runners very low.","AI_SCREEN_LANE_1"
"FRV2-C-020","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Historical interference synthesis with modality frequency and duration moderators; retained below the updated review and not usable as a youth calendar rule.","AI_SCREEN_LANE_1"
"FRV2-D-002","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Conceptual two-component framework; supports family identity but is not a validation study.","AI_SCREEN_LANE_1"
"FRV2-D-003","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Session-RPE related consistently to HR-based scores but absolute values differed; methods are not numerically interchangeable.","AI_SCREEN_LANE_1"
"FRV2-D-006","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: CR10 and Borg 6-20 sRPE correlated r=.90 but produced different absolute values; scale ID and anchors must persist.","AI_SCREEN_LANE_1"
"FRV2-D-007","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Defines sRPE as an entire-session average internal response; does not validate allocation to session components.","AI_SCREEN_LANE_1"
"FRV2-D-008","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Individualized HR-lactate TRIMPi related to outcomes when group-average weighting did not; method identity and individual thresholds are required.","AI_SCREEN_LANE_1"
"FRV2-D-009","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: sRPE TRIMP and biomechanical load correlations were weak to moderate across three session types; separate measures must not be summed as one currency.","AI_SCREEN_LANE_1"
"FRV2-D-010","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: sRPE-TRIMP correlation varied from .811 in ergometer work to .258 in functional training; validity is modality-specific.","AI_SCREEN_LANE_1"
"FRV2-D-011","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Wearable HR error differed by device and activity and was about 30% higher during activity than rest; model and protocol provenance are required.","AI_SCREEN_LANE_1"
"FRV2-D-012","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Most devices measured some HR conditions adequately but no device estimated energy expenditure below 20% error; outcomes are non-equivalent.","AI_SCREEN_LANE_1"
"FRV2-D-013","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Distance MAPE ranged 3.2%-6.1% and error depended on environment activity and watch; brand-level validity flags are insufficient.","AI_SCREEN_LANE_1"
"FRV2-D-014","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Validity varied by outcome and model; only four studies assessed reliability and distance energy HR evidence was limited or variable.","AI_SCREEN_LANE_1"
"FRV2-D-015","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Context-aware imputation outperformed simple methods in some analyses; imputed derivatives must remain separate from canonical observations.","AI_SCREEN_LANE_1"
"FRV2-D-016","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Real-world missingness may violate missing-completely-at-random and bias dashboards; coverage and reasons must be visible.","AI_SCREEN_LANE_1"
"FRV2-D-017","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Official W3C standard models entities activities agents derivation attribution revision and time; it is not sport-effect evidence.","AI_SCREEN_LANE_1"
"FRV2-D-019","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Coupling produced r=.52 despite independent weeks versus r=.01 when uncoupled; coupling method must be explicit.","AI_SCREEN_LANE_1"
"FRV2-D-020","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Counterevidence found mostly trivial coupled-versus-uncoupled effects in two datasets; no coupling variant is universally privileged.","AI_SCREEN_LANE_1"
"FRV2-D-021","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Affirmative ACWR sweet-spot rationale retained as counterevidence history only; zones are not product rules.","AI_SCREEN_LANE_1"
"FRV2-D-023","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Tested coupled 7:28 ACWR management and found no health-problem benefit; used only to deny ACWR plan authority.","AI_SCREEN_LANE_1"
"FRV2-D-024","RQ-D","","INCLUDE","Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Across 22839 GPS sessions flag rates differed materially by weekly coupled uncoupled and EWMA methods; all calculation choices require provenance.","AI_SCREEN_LANE_1"
"FRV2-E-001","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Separates bias and random error; CV SEM and limits of agreement require protocol-specific scale assumptions; supports error-aware level-3 claims only.","AI_SCREEN_LANE_1"
"FRV2-E-003","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: ICC model and SEM calculation provenance are required; MDC confidence level must be explicit.","AI_SCREEN_LANE_1"
"FRV2-E-004","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Validity reliability and sensitivity are separate; a reliable proxy cannot support a claim if it does not represent the target construct.","AI_SCREEN_LANE_1"
"FRV2-E-006","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Combines typical error confidence intervals and SWC; error exceedance and worthwhile magnitude remain distinct and noncausal.","AI_SCREEN_LANE_1"
"FRV2-E-007","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Measurement error and within-subject efficacy variation confound responder labels; stable personal response requires replicated interventions or contrasts.","AI_SCREEN_LANE_1"
"FRV2-E-008","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Response rates inflate when classification ignores error and SWC or MCID; heterogeneous reviewed outcomes prevent universal thresholds.","AI_SCREEN_LANE_1"
"FRV2-E-009","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Methodological opposition to naive personalization; observed between-person spread does not prove repeatable personal treatment response.","AI_SCREEN_LANE_1"
"FRV2-E-010","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: MBI reduced-sample claims are not justified; use transparent intervals or a fully specified Bayesian model while separately justifying important effects.","AI_SCREEN_LANE_1"
"FRV2-E-011","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: MBI can inflate type-I error at small samples; a likely-worthwhile label cannot substitute for a valid uncertainty model.","AI_SCREEN_LANE_1"
"FRV2-E-013","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Period length and washout are intervention-specific; training carryover may be the intended adaptation and cannot be replaced by a universal period rule.","AI_SCREEN_LANE_1"
"FRV2-E-014","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Requires phase outcome fidelity analysis and deviation reporting; checklist completion is not causal validity or a safety gate.","AI_SCREEN_LANE_1"
"FRV2-E-015","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: WWC phase-point rules are design-specific evidence-review standards and must not become a universal athlete baseline n or freshness threshold.","AI_SCREEN_LANE_1"
"FRV2-E-016","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Challenges rigid baseline-stability waiting under specified simulations but does not permit ignoring trend or using a universal short baseline.","AI_SCREEN_LANE_1"
"FRV2-E-017","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Ordinary independent t-tests can misstate repeated-series inference; serial structure must be specified and very few observations remain unsafe for inference.","AI_SCREEN_LANE_1"
"FRV2-E-018","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: SCED quality cannot be reduced to point count; measurement replication trend and analysis are separate gates and analytic disagreement remains.","AI_SCREEN_LANE_1"
"FRV2-E-019","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Randomize start or order where feasible and analyze the actual assignment scheme; randomization does not fix poor measurement carryover or missingness.","AI_SCREEN_LANE_1"
"FRV2-E-021","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: No single definitive fatigue marker exists; mixed markers require individualized contextual interpretation and cannot diagnose or clear training.","AI_SCREEN_LANE_1"
"FRV2-E-022","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Subjective and objective measures often disagree; preserve streams and provenance rather than fusing them into a causal readiness or safety score.","AI_SCREEN_LANE_1"
"FRV2-E-023","RQ-E","","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Reviews AB reversal multiple-baseline and alternating-treatment designs for elite conditioning; serial dependency and applied design constraints remain.","AI_SCREEN_LANE_1"
"FRV2-F-001","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Burden completion clarity and feedback are measurable; no automated-plan validation. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; feasibility_only=true; efficacy_safety_causality=false","AI_SCREEN_LANE_1"
"FRV2-F-002","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Separate adherence missingness withdrawal and technical failure; no physiological or safety inference","AI_SCREEN_LANE_1"
"FRV2-F-003","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Technical friction and feedback specificity matter; non-athlete indirectness retained","AI_SCREEN_LANE_1"
"FRV2-F-004","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Measure burden comprehension usefulness and completion separately; acceptability is not efficacy","AI_SCREEN_LANE_1"
"FRV2-F-005","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Ease did not equal sustained completion; log component dropout and notification burden","AI_SCREEN_LANE_1"
"FRV2-F-006","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Adult indirect evidence for clear definitions routine fit feedback and data control","AI_SCREEN_LANE_1"
"FRV2-F-007","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Online system complements rather than replaces coach communication; no prevention claim","AI_SCREEN_LANE_1"
"FRV2-F-008","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Test acceptability implementation practicality and integration; exclude limited efficacy","AI_SCREEN_LANE_1"
"FRV2-F-009","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Pilot rehearses intended process; progression is not product efficacy safety or identity","AI_SCREEN_LANE_1"
"FRV2-F-010","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Display reasons missingness uncertainty and human authority; exposure is not comprehension","AI_SCREEN_LANE_1"
"FRV2-F-011","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Version system and log workflow roles errors and deviations; coach remains authoritative","AI_SCREEN_LANE_1"
"FRV2-F-012","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Borrow parallel logging but reject concealment; label participant-visible parallel comparison","AI_SCREEN_LANE_1"
"FRV2-F-013","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Local ethics and law control; ongoing assent and withdrawal; no recruitment authority","AI_SCREEN_LANE_1"
"FRV2-F-014","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: UK-specific; test comprehension and respect withdrawal; local review required","AI_SCREEN_LANE_1"
"FRV2-F-015","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: RQ-F is not SCED; carryover makes ABAB unsuitable for cumulative training effects","AI_SCREEN_LANE_1"
"FRV2-F-016","RQ-F","","INCLUDE","Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Borrow completion stop process-event and fidelity fields; no causal claim","AI_SCREEN_LANE_1"
"FRV2-G-002","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Pain and overuse concern require clinician review; no product diagnosis or treatment","AI_SCREEN_LANE_1"
"FRV2-G-006","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Sex-specific evidence retained; no sex-based product score or restriction","AI_SCREEN_LANE_1"
"FRV2-G-007","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Clinical thresholds and return-to-play categories are not product automation inputs","AI_SCREEN_LANE_1"
"FRV2-G-008","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Male sex is not protective; multidisciplinary medical assessment required","AI_SCREEN_LANE_1"
"FRV2-G-009","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: General sleep-duration guidance is not athlete readiness or injury clearance","AI_SCREEN_LANE_1"
"FRV2-G-010","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Youth directness low; illness and return-to-sport assessment remain clinician functions","AI_SCREEN_LANE_1"
"FRV2-G-011","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Under-12 athletes outside scope; product cannot substitute for team physician","AI_SCREEN_LANE_1"
"FRV2-G-012","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Concern content routes outside planner to named trained safeguarding human","AI_SCREEN_LANE_1"
"FRV2-G-013","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Organizational standard with jurisdiction-specific implementation and reporting duties","AI_SCREEN_LANE_1"
"FRV2-G-014","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Heterogeneous methods; female athletes and sport diversity underrepresented","AI_SCREEN_LANE_1"
"FRV2-G-015","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Small single-academy association study; IRRs are not individual risk scores","AI_SCREEN_LANE_1"
"FRV2-G-016","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Low event counts; sex BMI and menarche findings must not become automated thresholds","AI_SCREEN_LANE_1"
"FRV2-G-017","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Training sleep and specialization evidence low certainty; no automated risk prediction","AI_SCREEN_LANE_1"
"FRV2-G-018","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Heterogeneous incidence and recurrence ranges are not individual probabilities","AI_SCREEN_LANE_1"
"FRV2-G-019","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Case-report dominant; symptoms require human assessment and imaging is not inferred","AI_SCREEN_LANE_1"
"FRV2-G-020","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Chronic association observed; acute evidence conflicting and not a readiness rule","AI_SCREEN_LANE_1"
"FRV2-G-021","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Diagnosis and treatment remain clinical; product collects only explicit pain or limitation","AI_SCREEN_LANE_1"
"FRV2-G-022","RQ-G","","INCLUDE","Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Opposing conceptual evidence; supports referral rather than automated model allegiance","AI_SCREEN_LANE_1"
"SRC-DOI-10.1136-BMJ.H1793","RQ-E","RQ-F","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: supports preregistered periods/order/change/attrition reporting; carryover and irreversibility remain design constraints.","AI_SCREEN_LANE_1"
"SRC-PMID-10907753","RQ-E","RQ-D","INCLUDE","Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports typical error/within-subject reliability and cautions against treating correlation as agreement. | Typical-error framework; study-level reliability sample guidance is not a universal within-athlete baseline count.","AI_SCREEN_LANE_1"
"SRC-PMID-12741870","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: estimated VO2max maintained but 3000 m slowed more in cross-training group; small off-season sample.","AI_SCREEN_LANE_1"
"SRC-PMID-17149987","RQ-C","","INCLUDE","Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: economy improved only at 18 km/h; no VO2max change; not microcycle evidence.","AI_SCREEN_LANE_1"
