source_id,rq_id,population,event,age_range,sex,maturity,training_age,competitive_level,season,intervention,comparator,component_dose,component_order,separation_hours,target_interval_hours,actual_interval_hours,outcome_domain,outcome_measure,instrument_protocol,time_horizon,time_points,missingness,adverse_events,effect_estimate,uncertainty,individual_response,limitations,reviewer_1,reviewer_2,adjudication
FRV2-F-011,RQ-F,Healthcare decision-support methods; METHOD_ONLY,AI_DECISION_SUPPORT,NOT_APPLICABLE,ALL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,DECIDE-AI early-stage decision-support reporting guideline,"Actual workflow, users, versions, modifications, errors and human-system interaction",17 AI-specific and 10 generic reporting items,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,OBSERVABILITY;VERSIONING;WORKFLOW;ERRORS;DEVIATIONS;HUMAN_ROLES,System/version identity; workflow roles; failures; modifications; deviations,"Delphi/consensus reporting guideline; freeze generator, schema, explanation template and comparison rubric",EARLY_STAGE_EVALUATION,"Every candidate, no-candidate, technical failure and handoff event",Failures and deviations must be logged distinctly,Process adverse events and exceptions should be reported; no safety inference,Reporting items only; no efficacy estimate,Reporting guideline rather than conduct standard,NOT_APPLICABLE,Clinical setting differs; coach remains authoritative and the guideline does not prove benefit or safety,PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-012,RQ-F,75 prospective noninterventional healthcare evaluations; METHOD_ONLY,SHADOW_OR_SILENT_EVALUATION,NOT_APPLICABLE,ALL,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,2015-2025,Scoping review of silent trials generating outputs without influencing care,Heterogeneous silent/shadow evaluations; visibility to treating users varied,Parallel output generation and prospective logging without care influence,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PARALLEL_COMPARISON;OBSERVABILITY;HUMAN_FACTORS;PARTICIPANT_VISIBILITY,Prospective output logging; influence on care; reporting; patient/consumer engagement,Scoping review; Formation borrows parallel comparison but explicitly rejects concealment,PROSPECTIVE_NONINTERVENTIONAL,Study-specific prospective events,Reporting and nomenclature were heterogeneous; screened-total wording inconsistency retained,NOT_REPORTED,75 included evaluations; human factors and patient/consumer engagement were sparse,English-language healthcare review; heterogeneous reporting,NOT_APPLICABLE,Not youth sport; conventional silent label may imply concealment; no effectiveness or safety inference,PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-013,RQ-F,Children and adolescents in health-related research; METHOD_ONLY,ASSENT;PERMISSION;WITHDRAWAL,CHILD;ADOLESCENT,ALL,AGE_AND_MATURITY_TAILORING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CIOMS Guideline 17 on research involving children and adolescents,Jurisdiction-specific ethics and legal requirements,Age/maturity-tailored information; ongoing assent; required permission; refusal and withdrawal; possible re-consent at majority,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ASSENT;COMPREHENSION;WITHDRAWAL;PARTICIPATION_PROTECTION,Affirmative assent; parental/legal permission where required; refusal; continued participation; withdrawal,"Official ethics guidance; Formation pilot needs prior local determination, ongoing assent and penalty-free withdrawal",ONGOING_RESEARCH_PARTICIPATION,Initial information; assent; continued participation; withdrawal; majority where applicable,NOT_APPLICABLE,Research adverse-event process must be locally approved; guidance does not establish product safety,Ethical requirements; no intervention effect estimate,Global guidance; local law controls exact implementation,Understanding and willingness may change over time,Not sport-specific; grants no recruitment authority and no product efficacy or safety claim,PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-F-014,RQ-F,Children in research; METHOD_ONLY,CONSENT;ASSENT;WITHDRAWAL,CHILD,ALL,AGE_AND_UNDERSTANDING_TAILORING,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,UK Health Research Authority guidance on research involving children,Applicable local law and ethics review,Appropriate language/presentation; understanding; assent; refusal; withdrawal; privacy,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,COMPREHENSION;ASSENT;WITHDRAWAL;PRIVACY,Maximized understanding; respected refusal and withdrawal,Official UK guidance; product pilot must test comprehension rather than infer it from age,ONGOING_RESEARCH_PARTICIPATION,Information presentation; assent; refusal; withdrawal,NOT_APPLICABLE,NOT_APPLICABLE,Guidance only; no empirical effect estimate,UK-specific and not universal legal approval,Understanding and assent remain participant-specific,No sport or 9.5-day validation; applicable South Korean/local review remains required,PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-002,RQ-G,Children and adolescent athletes,YOUTH_SPORT,CHILD;ADOLESCENT,ALL,GROWTH_RETAINED_AS_CONTEXT,NOT_REPORTED,VARIED_YOUTH_ATHLETES,NOT_REPORTED,"AAP clinical report on overuse, overtraining and burnout","Clinician evaluation, counselling and individual circumstances","Repetitive stress and insufficient recovery; pain/function trajectory; sleep, fatigue and mood concerns",NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,PAIN;FUNCTION;OVERUSE_CONCERN;CLINICAL_HANDOFF,Current pain; functional limitation; persistent sleep/fatigue/mood concern; suspected overuse,"Clinical report: explicit concern is a structured HUMAN_REVIEW_REQUIRED input; product does not classify pain, diagnose overtraining, prescribe rest or clear participation",NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,"Bone, muscle and tendon overuse injury discussed; no product AE rate",Repetitive stress without sufficient recovery can produce overuse injury; pain may progress in timing and limitation,Guidance is not a validated prediction model or exclusive standard of care,Individual variation emphasized,"Not runner-specific; no automated symptom interpretation, safety probability, readiness or 9.5-day validation",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-006,RQ-G,Adolescent and adult female athletes,ENERGY_DEFICIENCY;REPRODUCTIVE_FUNCTION;BONE_HEALTH,ADOLESCENT;ADULT,FEMALE,ADOLESCENT_MODEL_EXPLICIT,NOT_REPORTED,VARIED_FEMALE_ATHLETES,NOT_REPORTED,Female Athlete Triad state-of-science consensus with new adolescent model,Clinical measurement and interpretation by qualified human,Energy deficiency; reproductive function; bone health; bone stress injury; optional explicit health concern,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SEX_SPECIFIC_EVIDENCE;BONE_HEALTH;CLINICAL_HANDOFF,Adolescent model components and uncertainty about complete bone-health recovery,"Consensus boundary: sex-specific evidence is retained but only explicit privacy-reviewed concern routes to human; no inference from sex, weight, pace or note text",NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,Bone stress injury incorporated; no consumer adverse-event estimate,"Model links energy deficiency, reproductive function and bone health; effect estimate not extracted",Complete bone-health recovery uncertain; clinical measurement required,Individual clinical interpretation required,"Female-specific construct; no sex-based score, restriction, diagnosis, readiness or product safety inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-007,RQ-G,Adolescent and adult female athletes,TRIAD_SCREENING;CLINICAL_MANAGEMENT;RETURN_TO_PLAY,ADOLESCENT;ADULT,FEMALE,ADOLESCENT_GUIDANCE_EXPLICIT,NOT_REPORTED,VARIED_FEMALE_ATHLETES,NOT_REPORTED,Female Athlete Triad clinical consensus guideline,"Multidisciplinary clinical screening, diagnosis, treatment and return-to-play",Clinical measures and categories; no universal energy-availability threshold,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,CLINICAL_HANDOFF;RETURN_TO_PLAY_NON_AUTOMATION;PREFER_NOT_TO_ANSWER,Explicit health concern or unresolved required field; multidisciplinary management,"Guideline boundary: concern, prefer-not-answer or incompatible required record is fail-closed for candidate and routes to qualified human; no threshold, point system, menstrual/body-mass rule or return-to-play automation",NOT_APPLICABLE,NOT_APPLICABLE,Unresolved required response remains unresolved; no adverse inference from silence,NOT_REPORTED,Clinical functions assigned to humans; no product effect estimate,No single universal energy-availability threshold; consumer validation absent,Individual multidisciplinary assessment required,"Female-specific and medical-data dependent; no diagnosis, readiness, safety or automated clearance",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-008,RQ-G,Adolescent and young adult male athletes; especially endurance and weight-class sports,ENERGY_DEFICIENCY;BONE_HEALTH;RETURN_TO_PLAY,ADOLESCENT;YOUNG_ADULT,MALE,ADOLESCENT_BONE_ACCRUAL_RETAINED,NOT_REPORTED,ENDURANCE_AND_LEAN_PHYSIQUE_ATHLETES,NOT_REPORTED,Male Athlete Triad clinical consensus guideline,Multidisciplinary medical team assessment,Energy deficiency; reproductive-axis suppression; bone health; explicit relevant concern,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SEX_INCLUSIVE_HANDOFF;CLINICAL_ASSESSMENT;RETURN_TO_PLAY_NON_AUTOMATION,Male-specific evidence and multidisciplinary screening/diagnosis/return-to-play boundary,Consensus boundary: same non-diagnostic structured concern and qualified-human route for every athlete; male sex never clears or protects,NOT_APPLICABLE,NOT_APPLICABLE,NOT_REPORTED,NOT_REPORTED,Clinical association and management consensus; no product effect estimate,Smaller male evidence base; abstract only; consensus extrapolation,Individual medical assessment required,"No youth-running software validation, diagnosis, risk score, readiness or automated return-to-play",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-009,RQ-G,Healthy children and adolescents,SLEEP_DURATION,4_MONTHS_TO_18_YEARS,ALL,AGE_BANDS_RETAINED,NOT_APPLICABLE,GENERAL_PEDIATRIC_POPULATION,NOT_REPORTED,AASM pediatric sleep-duration consensus,Modified RAND consensus and human evaluation for persistent concern,Regular sleep duration recommendations by age band,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SLEEP_CONTEXT;PERSISTENT_CONCERN_HANDOFF;READINESS_NON_INFERENCE,Recommended regular sleep duration; persistent sleep concern; single-night limitation,Consensus boundary: regular or persistent concern may route to guardian/coach/health professional; one night's hours cannot medically block or clear a session and no readiness score is generated,REGULAR_SLEEP_PATTERN,Age-band regular duration,NOT_REPORTED,NOT_REPORTED,9-12 hours for ages 6-12 and 8-10 hours for ages 13-18,"General-health recommendations are not athlete injury, recovery or clearance thresholds",Individual sleep needs not converted to product score,"Not athlete-specific; no single-night injury prediction, diagnosis, recovery, readiness or 9.5-day safety inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-010,RQ-G,Athletes with acute respiratory infection; youth directness low,ACUTE_RESPIRATORY_ILLNESS;RETURN_TO_SPORT,BROAD_ATHLETE_AGE_RANGE,ALL,NOT_REPORTED,NOT_REPORTED,VARIED_ATHLETES,NOT_REPORTED,IOC clinical consensus on acute respiratory infection,Sport and exercise medicine clinician assessment,Explicit current illness concern; fever/chills; chest pain; breathing difficulty; fainting; severe/unusual fatigue,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,ILLNESS_CONCERN;CLINICAL_HANDOFF;RETURN_TO_SPORT_NON_AUTOMATION,"Infection severity, athlete health risk, activity risk and symptom monitoring as clinician functions","Consensus boundary: any explicit illness concern or unresolved required item suppresses candidate and routes to qualified care; product does not diagnose infection, grade severity or run a return-to-sport algorithm",ILLNESS_EPISODE,Current symptoms and clinician follow-up,NOT_REPORTED,Acute respiratory illness is source domain; no product AE rate,Consensus recommendations; no effect estimate extracted,Youth runner directness low; accessible sections/abstract rather than open full text,Individual clinical consideration required,"Respiratory focus; no consumer symptom-checker validation, readiness, medical safety or clearance inference",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-011,RQ-G,Adolescent athletes ages 12-18; under-12 outside scope,ADOLESCENT_SPORT;INJURY;ILLNESS;RETURN_TO_SPORT,12-18_YEARS,ALL,GROWTH_AND_DEVELOPMENT_RETAINED,NOT_REPORTED,SCHOOL_INTRAMURAL_AND_SPECIALIZED_SPORT,NOT_REPORTED,Multidisciplinary team-physician consensus for adolescent athletes,Knowledgeable health-care assessment without discrimination,Growth/development; medical and musculoskeletal issues; psychological factors; overtraining; return to sport,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,AGE_SCOPE;DEVELOPMENT_CONTEXT;CLINICAL_HANDOFF,Verified age/development context and explicit health concern; outside-scope or unknown context,"Consensus boundary: missing, incompatible or out-of-scope age/development context suppresses candidate for human review; product does not estimate maturity or substitute for team physician",NOT_APPLICABLE,NOT_APPLICABLE,Unknown/out-of-scope context retained as transfer limitation,Injury and illness domains covered; no event rate extracted,Consensus guidance; no quantified effect estimate,Abstract only; consensus not prediction model; under-12 excluded,Individual healthcare assessment required,"No youth-runner-specific rule, diagnosis, readiness, safety probability or automated return-to-sport clearance",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-012,RQ-G,Athletes across ages and levels; children and youth explicitly considered,SAFEGUARDING;INTERPERSONAL_VIOLENCE,ALL_AGES,ALL,CHILD_AND_YOUTH_STATUS_RETAINED,NOT_REPORTED,ALL_LEVELS,NOT_REPORTED,IOC scoping review and Delphi consensus on interpersonal violence and safeguarding,Named trained safeguarding lead and jurisdiction-approved response process,Athlete-centred whole-system trauma- and violence-informed safeguards; visible support route,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SAFEGUARDING;REQUEST_HUMAN_SUPPORT;ROLE_SEPARATION,Accessible concern-response mechanisms; 43 consensus statements; participant-controlled support request,"Consensus boundary: explicit concern or REQUEST_HUMAN_SUPPORT suppresses candidate and routes content outside planner to trained safeguarding human; no narrative classification, credibility scoring or coach disclosure by default",NOT_APPLICABLE,Concern report; acknowledgement; human handoff; resolution state,Narrative detail is not required and remains outside generator; route/status may be logged only after approval,Interpersonal violence and safeguarding events are source domains; no product event rate,43 statements reached consensus; several did not,Complex subjective domain; local legal and reporting duties vary,Individual disclosure and route remain participant-centred,"No software diagnosis or abuse classification; exact local procedure, confidentiality and emergency copy require human approval",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
FRV2-G-013,RQ-G,Children participating in sport from grassroots through elite,CHILD_SAFEGUARDING,CHILD,ALL,CHILD_STATUS_EXPLICIT,NOT_REPORTED,GRASSROOTS_TO_ELITE,NOT_REPORTED,International organizational safeguards for children in sport,Named safeguarding owner with tested local concern-response procedure,Eight safeguards: policy; response procedures; advice/support; risk management; behaviour; recruitment/training; partnerships; monitoring,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,SAFEGUARDING_GOVERNANCE;HUMAN_OWNER;HANDOFF_COMPLETENESS,Existence and operation of a named human route before concern collection,Organizational boundary: concern collection remains fail-closed until a real safeguarding owner and tested procedure exist; software is never the safeguarding officer,NOT_APPLICABLE,Concern; handoff; acknowledgement; route completion,Jurisdiction-specific narrative and reporting records are outside planner,Safeguarding process exceptions should be logged; no empirical AE rate,Eight organizational safeguards; no outcome effect estimate,Organizational standard rather than empirical outcome study; jurisdiction-specific implementation,NOT_APPLICABLE,"No diagnosis, credibility score, readiness, safety or automated case resolution; local law controls",PENDING_INDEPENDENT_EXTRACTION,AI_EXTRACTION_LANE_2,PENDING_ADJUDICATION
