source_id,rq_id,design,appraisal_tool,domain_judgments,overall_judgment,youth_directness,architecture_directness,outcome_compatibility,time_horizon_compatibility,correction_state,overlap_group,reviewer_1,reviewer_2,adjudication,human_confirmation,notes
"FRV2-A-015","RQ-A","COACH_AUTHORED_ADVICE_SAMPLE_PLAN","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","COMPATIBLE","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-USE","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Can support intelligibility only; not common use, optimality, safety, or numerical policy; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-016","RQ-A","OFFICIAL_COACHING_SYMPOSIUM_PRESENTATION","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","PARTIAL","COMPATIBLE","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-PLANS","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Supports competition-anchor concept only; cannot determine youth middle-distance dose or 9.5-day safety; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-A-017","RQ-A","ATHLETE_INTERVIEW_REPORT","JBI_TEXT_AND_OPINION","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_TEXT_AND_OPINION;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","PARTIAL","PARTIAL","PARTIAL","NOT_VERIFIED","FRV2-OVERLAP-NONWEEKLY-COACHING-USE","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Corrects erroneous nine-day secondary report; performance cannot validate 9.5 days; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-001","RQ-B","PRIMARY_ACUTE_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","DIRECT","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Extreme endurance bout and biomarker-only evidence; cannot diagnose, clear training, or set spacing; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-002","RQ-B","PRIMARY_ACUTE_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","DIRECT","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=No performance, force, or gait measure; biomarkers cannot determine safety or next-MAIN clearance; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-003","RQ-B","PRIMARY_ACUTE_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Young-athlete but not middle-distance evidence; marker trajectories cannot establish whole-athlete recovery or safety; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-004","RQ-B","PRIMARY_ACUTE_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Single force test and indirect soccer population cannot clear a runner or define 72 h; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-005","RQ-B","PRIMARY_ACUTE_CROSSOVER_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Cannot set a runner interval or treat stretching as restoration; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-006","RQ-B","PRIMARY_ACUTE_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Evidence requires domain separation and cannot be normalized to recovered; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-007","RQ-B","PRIMARY_RANDOMIZED_STUDY","ROB_2","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=ROB_2;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Shows elapsed time cannot identify causal session or current state; indirect to running; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-009","RQ-B","PRIMARY_CROSSOVER_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","COMPATIBLE","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Selected-marker behavior is not safety, clearance, or whole-athlete recovery; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-010","RQ-B","SYSTEMATIC_REVIEW_META_ANALYSIS","AMSTAR_2","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=AMSTAR_2;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","PARTIAL","INDIRECT","PARTIAL","PARTIAL","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Peak magnitude is not a universal interval and cannot clear an individual adolescent; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-011","RQ-B","PRIMARY_ACUTE_REPEATED_TRIAL","JBI_QUASI_EXPERIMENTAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","COMPATIBLE","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Maintained one outcome at 24 h does not establish complete recovery or safe MAIN repetition; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-013","RQ-B","PRIMARY_ACUTE_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Asymmetric and session-specific findings cannot set a universal runner interval; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-014","RQ-B","PRIMARY_REPEATED_BOUT_STUDY","JBI_QUASI_EXPERIMENTAL","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=JBI_QUASI_EXPERIMENTAL;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","COMPATIBLE","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Explicit residual beyond 72 h but no universal replacement interval or clearance rule; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-019","RQ-B","PRIMARY_RANDOMIZED_REPEATED_SESSION_STUDY","ROB_2","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=ROB_2;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","INDIRECT","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Preserved output cannot erase simultaneous neuromuscular change or clear running; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-020","RQ-B","SYSTEMATIC_REVIEW_META_ANALYSIS","AMSTAR_2","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=AMSTAR_2;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Review overlap and indirectness prevent a universal interval, safety claim, or youth prescription; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-B-022","RQ-B","SYSTEMATIC_REVIEW","AMSTAR_2","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=AMSTAR_2;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","INDIRECT","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","NOT_VERIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Domain disagreement forbids recovered normalization and cannot define a running interval; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-C-002","RQ-C","CONTROLLED_TRAINING_TRIAL","ROBINS_I","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=ROBINS_I;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","DIRECT","INDIRECT","COMPATIBLE","COMPATIBLE","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=High youth directness but low sequence and separation directness; no safety or architecture inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-C-003","RQ-C","CONTROLLED_TRAINING_TRIAL","ROBINS_I","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=ROBINS_I;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","DIRECT","INDIRECT","COMPATIBLE","COMPATIBLE","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Evidence concerns component substitution, not a universal order or 9.5-day schedule; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-C-004","RQ-C","PAIR_MATCHED_CONTROLLED_TRIAL","ROBINS_I","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=ROBINS_I;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","DIRECT","INDIRECT","PARTIAL","COMPATIBLE","NOT_VERIFIED","FRV2-OVERLAP-YOUTH-CONCURRENT-PRIMARY","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Possible interference signal only; cannot prove sequence, safety, or calendar rules; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-C-005","RQ-C","RANDOMIZED_CROSSOVER_TRIAL","ROB_2","full_text=ABSTRACT_ONLY;screening=INCLUDE;tool=ROB_2;numeric_score=NOT_USED;item_level_judgments=NOT_VERIFIED","NOT_ASSESSABLE","DIRECT","INDIRECT","COMPATIBLE","PARTIAL","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","NONE_IDENTIFIED","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Narrow acute sequence evidence only; no adjacent-day, safety, or 9.5-day inference; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
"FRV2-C-007","RQ-C","MATCHED_CONTROLLED_TRAINING_TRIAL","ROBINS_I","full_text=FULL_TEXT_VERIFIED;screening=INCLUDE;tool=ROBINS_I;numeric_score=NOT_USED;item_level_judgments=UNRESOLVED_CONSERVATIVE","SOME_CONCERNS","PARTIAL","INDIRECT","PARTIAL","COMPATIBLE","PUBMED_METADATA_NO_NOTICE_FOUND_2026-07-17","FRV2-OVERLAP-RUNNER-STRENGTH-REVIEWS","NOT_APPLICABLE","AI_APPRAISAL_LANE_2","PENDING_INDEPENDENT_APPRAISAL","PENDING_HUMAN","independence_state=INDEPENDENT_APPRAISAL_INPUT; decision_use=INCLUDE; limitations=Supports narrow component pairing; cannot establish ideal shared-day gap, safety, or 9.5-day superiority; product_identity=9_5_DAY_FORMATION_SEPARATE_FROM_SCIENTIFIC_CLAIMS; runtime_authority=false"
