source_id,primary_rq,secondary_rqs,lane_1_decision,lane_1_reason,lane_2_decision,lane_2_reason,adjudication,adjudication_reason,human_confirmation,full_text_eligibility
FRV2-B-003,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth indirect; 1-day and 2-day mixed-modality races; marker-specific 24-72 h time course.,INCLUDE,Youth endurance evidence for marker-specific 24-72 h kinetics; mixed-modality race is middle-distance indirect,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-004,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; force at post 24 h 48 h 72 h; no subsequent training; large individual variability.,INCLUDE,Youth match study supports outcome-specific force kinetics and variability only; soccer transfer is indirect,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-005,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; static-stretch versus passive recovery; pre post 48 h; intervention confounds natural kinetics.,INCLUDE,Youth crossover evidence informs recovery-intervention context; soccer and intervention confound natural kinetics,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-006,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; objective and subjective outcomes diverge at 24-48 h.,INCLUDE,Youth match abstract supports divergent objective and subjective kinetics only; extraction restricted to abstract,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-B-007,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; complete versus reduced training at 48 h; 72-h state includes intervening load.,INCLUDE,Youth randomized post-match training study informs intervening-load effects; not natural recovery or running clearance,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-009,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth athlete indirect; fixed-order crossover; selected markers at 24 h 48 h 72 h; no safety inference.,INCLUDE,Youth resistance and plyometric time course is relevant but soccer and fixed-order crossover are indirect,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-010,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Youth indirect review; peak strength soreness and CK effects beyond 24 h; not a session-specific interval study.,INCLUDE,Systematic youth-adult EIMD comparison supplies mechanism context only; abstract cannot define session spacing,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-B-011,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Runner direct but adult; two treadmill 1500-m trials 24 h apart; performance-specific counterevidence only.,INCLUDE,Adult middle-distance repeated 1500-m trial supplies performance-specific 24-h counterevidence only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-013,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Runner direct but adult; 60-min downhill run; gait CK pain and MRI at post 24 h 48 h.,INCLUDE,Adult runner downhill study supplies marker-specific 24-48 h kinetics; abstract-only and protocol-specific,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-B-014,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Runner direct but adult; two downhill bouts; post 24 h 48 h 72 h 96 h 168 h; explicit soreness beyond 72 h.,INCLUDE,Adult runner repeated-downhill study supports outcome-specific persistence beyond 72 h; no universal threshold,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-019,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Indirect cycling; repeated sessions separated by 24 h or 48 h; performance and neuromuscular markers disagree at 24 h.,INCLUDE,Indirect cycling repeated-sprint study supports disagreement across markers; abstract-only and modality-indirect,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-B-020,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Indirect review; 20 studies; sprint COD CMJ CK and DOMS through 72 h; high heterogeneity.,INCLUDE,Indirect heterogeneous EIMD review supports outcome-specific time courses; not a running clearance rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-B-022,RQ-B,,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: Indirect review; 28 studies; performance and biochemical time courses to 144 h; full text available but not inspected in this extraction.,INCLUDE,Team-sport recovery review supports heterogeneous 24-144 h outcomes only; extraction restricted to abstract,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-002,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Twice-weekly plyometric sprint and resistance work supported economy and strength signals; sequence and running separation were not reported in the abstract.,INCLUDE,Direct adolescent distance-running trial supports combined component feasibility; abstract lacks order and separation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-003,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Nineteen percent of endurance training was replaced by explosive work; speed improved while VO2max and economy were unchanged; scheduling was not reported.,INCLUDE,Young distance-runner trial supports explosive component outcomes; abstract lacks scheduling mechanics,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-004,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Tiny null/adverse signal; resistance frequency conflicts between abstract and review table; order and separation remain unresolved.,INCLUDE,Small maturity-matched youth-runner trial is relevant counterevidence; abstract-review frequency conflict blocks schedule inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-005,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Six depth jumps followed by 10 min passive recovery improved acute running economy but not time to exhaustion; chronic scheduling transfer is unsupported.,INCLUDE,Junior middle-distance crossover supports acute depth-jump response only; no chronic placement transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-007,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Morning endurance and afternoon strength plus heavy-to-plyometric complex pairs improved several outcomes; AM-PM hours and reverse order were not tested.,INCLUDE,Runner training trial supports one AM-PM complex arrangement; reverse order and separation dose were not tested,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-010,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Speed endurance preceded heavy resistance in the same session while running volume was reduced; outcomes improved but reverse order was not tested.,INCLUDE,Adult runner trial supports one same-session sequence with reduced volume; not a universal ordering rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-011,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Hill component evidence showed no clearly superior program for 5 km performance and did not test placement relative to strength or plyometrics.,INCLUDE,Hill-program trial supports component comparison only; abstract provides no strength or plyometric placement test,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-012,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Small run-versus-cycle HIIT trial; habitual-training placement was not standardized and cycling cannot be inferred to be equivalent or lower fatigue.,INCLUDE,Small adult run-versus-cycle trial is useful counterevidence; no modality equivalence or lower-fatigue inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-013,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Pooled VO2max and running-performance effects were null with wide intervals; modality equivalence recovery benefit and placement are unsupported.,INCLUDE,Heterogeneous adult cross-training review informs mode transfer only; no recovery or placement equivalence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-015,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Maximal strength and hypertrophy were null overall while explosive strength showed a small same-session interference signal; adult subgroup bins are not youth thresholds.,INCLUDE,Large adult meta-analysis informs conditional same-session interference; youth thresholds are unsupported,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-016,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Resistance-before-endurance favored dynamic strength only; aerobic hypertrophy and static strength outcomes were null and do not support a universal order.,INCLUDE,Adult sequence review informs outcome-specific ordering; null domains defeat a universal order,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-018,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Resistance always preceded aerobic work with 0 h 6 h or 24 h separation; one indirect team-sport trial cannot define a youth threshold.,INCLUDE,Indirect adult rugby trial compares 0 6 and 24 h separation; abstract cannot set youth-runner threshold,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-C-019,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Immediate endurance-resistance order did not alter most adaptations; rehabilitation and detraining make transfer to trained youth runners very low.,INCLUDE,Inactive-adult rehabilitation trial is very indirect but usable as order counterevidence only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-C-020,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: Historical interference synthesis with modality frequency and duration moderators; retained below the updated review and not usable as a youth calendar rule.,INCLUDE,Historical adult meta-analysis supports interference context only; abstract and updated overlap block calendar rules,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-002,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Conceptual two-component framework; supports family identity but is not a validation study.,INCLUDE,Conceptual internal-external load distinction is relevant; commentary is not metric validation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-003,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Session-RPE related consistently to HR-based scores but absolute values differed; methods are not numerically interchangeable.,INCLUDE,Comparative sRPE study supports method noninterchangeability; abstract limits population and protocol detail,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-006,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: CR10 and Borg 6-20 sRPE correlated r=.90 but produced different absolute values; scale ID and anchors must persist.,INCLUDE,Scale comparison supports persisting scale identity and anchors; abstract cannot validate cross-method aggregation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-007,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Defines sRPE as an entire-session average internal response; does not validate allocation to session components.,INCLUDE,sRPE history defines whole-session averaging; abstract does not permit component allocation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-008,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Individualized HR-lactate TRIMPi related to outcomes when group-average weighting did not; method identity and individual thresholds are required.,INCLUDE,Small adult runner method study supports individual threshold and method identity; abstract limits validation detail,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-009,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: sRPE TRIMP and biomechanical load correlations were weak to moderate across three session types; separate measures must not be summed as one currency.,INCLUDE,Runner comparison supports separate load families; abstract-only correlations cannot create one currency,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-010,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: sRPE-TRIMP correlation varied from .811 in ergometer work to .258 in functional training; validity is modality-specific.,INCLUDE,Rowing validation supports modality-specific agreement only; abstract and sport indirectness are explicit,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-011,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Wearable HR error differed by device and activity and was about 30% higher during activity than rest; model and protocol provenance are required.,INCLUDE,Device-validation evidence supports model activity and protocol provenance; adult wearable transfer is bounded,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-012,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Most devices measured some HR conditions adequately but no device estimated energy expenditure below 20% error; outcomes are non-equivalent.,INCLUDE,Device comparison supports outcome-specific error and non-equivalence; abstract-only adult cohort,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-013,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Distance MAPE ranged 3.2%-6.1% and error depended on environment activity and watch; brand-level validity flags are insufficient.,INCLUDE,Sport-watch validation supports environment activity and model provenance; no athlete state inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-014,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Validity varied by outcome and model; only four studies assessed reliability and distance energy HR evidence was limited or variable.,INCLUDE,Systematic Garmin review supports model-outcome-specific validity limits; abstract-only and adult-dominant,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-015,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Context-aware imputation outperformed simple methods in some analyses; imputed derivatives must remain separate from canonical observations.,INCLUDE,Youth imputation study informs missing-data handling only; team-sport estimates cannot replace observations,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-016,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Real-world missingness may violate missing-completely-at-random and bias dashboards; coverage and reasons must be visible.,INCLUDE,Method commentary supports visible missingness mechanisms; illustrative football data are indirect,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-017,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Official W3C standard models entities activities agents derivation attribution revision and time; it is not sport-effect evidence.,INCLUDE,Official provenance ontology supports entity activity agent and derivation fields; not sport-effect evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-D-019,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Coupling produced r=.52 despite independent weeks versus r=.01 when uncoupled; coupling method must be explicit.,INCLUDE,Simulation directly establishes mathematical-coupling artifact risk; no injury or plan authority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-D-020,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Counterevidence found mostly trivial coupled-versus-uncoupled effects in two datasets; no coupling variant is universally privileged.,INCLUDE,Applied counterexample shows coupling effects are dataset-dependent; commentary cannot privilege a variant,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-021,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Affirmative ACWR sweet-spot rationale retained as counterevidence history only; zones are not product rules.,INCLUDE,Retain as historical affirmative ACWR counterposition only; narrative model cannot define product zones,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-D-023,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Tested coupled 7:28 ACWR management and found no health-problem benefit; used only to deny ACWR plan authority.,INCLUDE,Youth cluster trial directly rejects health-benefit authority for tested ACWR management; soccer transfer bounded,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-D-024,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: Across 22839 GPS sessions flag rates differed materially by weekly coupled uncoupled and EWMA methods; all calculation choices require provenance.,INCLUDE,Large runner dataset supports method-dependent flag rates; abstract cannot establish injury or readiness thresholds,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-E-001,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Separates bias and random error; CV SEM and limits of agreement require protocol-specific scale assumptions; supports error-aware level-3 claims only.,INCLUDE,Measurement-error review supports separating bias random error and agreement; abstract cannot set universal counts,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-E-003,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: ICC model and SEM calculation provenance are required; MDC confidence level must be explicit.,INCLUDE,ICC and SEM tutorial supports explicit model and confidence provenance; no universal MDC threshold,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-E-004,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Validity reliability and sensitivity are separate; a reliable proxy cannot support a claim if it does not represent the target construct.,INCLUDE,Sport measurement review separates validity reliability and sensitivity; abstract-only and nonprescriptive,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-E-006,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Combines typical error confidence intervals and SWC; error exceedance and worthwhile magnitude remain distinct and noncausal.,INCLUDE,Statistical framework distinguishes error exceedance from worthwhile change; it cannot prove causality,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-007,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Measurement error and within-subject efficacy variation confound responder labels; stable personal response requires replicated interventions or contrasts.,INCLUDE,Method review supports replicated contrasts for personal response; abstract cannot define minimum observations,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-E-008,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Response rates inflate when classification ignores error and SWC or MCID; heterogeneous reviewed outcomes prevent universal thresholds.,INCLUDE,Systematic review supports error-aware response classification; heterogeneous outcomes block universal thresholds,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-009,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Methodological opposition to naive personalization; observed between-person spread does not prove repeatable personal treatment response.,INCLUDE,Variance critique directly guards against naive responder claims; not sport-specific prescription evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
