claim_id,rq_id,claim_text,evidence_status,permitted_claim,youth_directness,architecture_directness,supporting_source_ids,opposing_source_ids,limitations,owner_decision,runtime_authority,review_state
FRV2-CLAIM-D-001,RQ-D,"내적 외적 파생 맥락 부하는 단위와 출처를 보존해 분리해야 한다",SUPPORTED,RULE_INPUT_CANDIDATE,PARTIAL,INDIRECT,"SRC-PMID-29163016;FRV2-D-017",NOT_FOUND,"구성요소 등록표와 단위는 책임자 검토 필요",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-D-002,RQ-D,"전체 세션 sRPE를 구성요소에 비례 분배할 수 있다",NOT_SUPPORTED,PROHIBITED,PARTIAL,INDIRECT,NOT_FOUND,"FRV2-D-003;SRC-PMID-29163016;FRV2-D-007","독립 구성요소 측정이 없으면 부모에 유지",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-D-003,RQ-D,"TRIMP 계열과 방법이 다른 파생값은 서로 같은 단위다",NOT_SUPPORTED,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,"FRV2-D-008;FRV2-D-009","공식과 프로토콜 호환성 필요",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-D-004,RQ-D,"ACWR 안전 및 위험 구간은 자동 행동을 정할 수 있다",NOT_SUPPORTED,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,"FRV2-D-019;FRV2-D-023","관찰 연관과 방법 오류가 행동 효능을 입증하지 않음",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-E-001,RQ-E,"모든 지표에 적용되는 보편 최소 관찰 수와 신선도가 있다",NOT_SUPPORTED,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,"FRV2-E-001;FRV2-E-009;FRV2-E-015;FRV2-E-016","설계 및 지표별 요구만 존재",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-E-002,RQ-E,"개인내 해석은 관찰부터 사전 비교까지 단계적으로 제한할 수 있다",CONDITIONALLY_SUPPORTED,RULE_INPUT_CANDIDATE,INDIRECT,INDIRECT,"SRC-PMID-28054257;SRC-DOI-10.1136-BMJ.H1793;FRV2-E-013;FRV2-E-017",NOT_FOUND,"단계는 제품 계약이며 지표별 통계 승인이 필요",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-F-001,RQ-F,"첫 병렬 비교는 실행가능성 이해도 부담과 인계를 평가할 수 있다",CONDITIONALLY_SUPPORTED,RULE_INPUT_CANDIDATE,PARTIAL,INDIRECT,"FRV2-F-001;FRV2-F-002;FRV2-F-009;FRV2-F-011",NOT_FOUND,"9.5일 처방 효능 및 안전 시험이 아님",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-F-002,RQ-F,"코치 동의율은 자동 처방의 정확성 효능 또는 안전을 입증한다",NOT_SUPPORTED,PROHIBITED,INDIRECT,INDIRECT,NOT_FOUND,"FRV2-F-009;FRV2-F-010;FRV2-F-011","일치도는 기술적 비교에 한정",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-G-001,RQ-G,"명시적 구조화 우려는 후보를 억제하고 로컬 지원 선택지를 보여줄 수 있으나 외부 인계는 별도 명시 선택이 필요하다",CONDITIONALLY_SUPPORTED,RULE_INPUT_CANDIDATE,PARTIAL,INDIRECT,"SRC-PMID-33122252;SRC-PMID-39197945;FRV2-G-006;FRV2-G-012",NOT_FOUND,"질문 부담 오탐 누락 인계 효과는 미검증이며 자동 외부 전송은 금지",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-G-002,RQ-G,"무우려 응답과 경과시간 및 부하값은 안전 회복 준비도 또는 의학 허가다",NOT_SUPPORTED,PROHIBITED,PARTIAL,INDIRECT,NOT_FOUND,"FRV2-G-014;FRV2-G-015;FRV2-G-016;FRV2-G-020;FRV2-G-022","관찰 연관과 합의문은 개인 허가 도구가 아님",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-G-003,RQ-G,"PRIVATE_SELF_ONLY 내용과 존재 길이 시각 빈도 등 메타데이터는 분석 계획 보상 telemetry 안전 신호에서 ZERO_SIGNAL_FOR_ANALYSIS이다",SUPPORTED,RULE_INPUT_CANDIDATE,NOT_APPLICABLE,DIRECT,OWNER_PRIVACY_DECISION,NOT_APPLICABLE,"개인정보 및 safeguarding 구현 검토 필요",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
FRV2-CLAIM-G-004,RQ-G,"사용자가 preview와 확인 뒤 선택한 백업 및 수신자 공유는 USER_DIRECTED_FILE_OPERATION이며 분석 동의나 상시 접근 권한이 아니다",SUPPORTED,RULE_INPUT_CANDIDATE,NOT_APPLICABLE,DIRECT,OWNER_PRIVACY_DECISION,NOT_APPLICABLE,"내보낸 파일의 회수 한계와 transport 최소기록은 개인정보 및 보안 검토 필요",9_5_DAY_AUTOMATED_PRESCRIPTION_IDENTITY,false,PREPARED_HUMAN_REVIEW_REQUIRED
