source_id,rq_id,field,lane_1_value,lane_2_value,resolution,human_confirmation
FRV2-A-007,RQ-A,component_dose,2-3 key workout days and 3-5 intensive sessions per week across sports,NOT_VERIFIED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,component_order,"Weekly organization with pragmatic adjustments for travel, camps, and competition",Weekly organization remained explicit with pragmatic adjustments,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,actual_interval_hours,NOT_REPORTED,168,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,outcome_domain,PRACTICE_ORGANIZATION;PLAN_ADJUSTMENT,PRACTICE_DESCRIPTION,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,outcome_measure,"Reported weekly load, key-workout frequency, intensive-session frequency",Weekly structure and contextual adjustment,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,instrument_protocol,FULL_TEXT_VERIFIED; Crossmark current on audit date,Descriptive multiple-case interviews,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,time_horizon,DESCRIPTIVE_RETROSPECTIVE,Long-term elite practice,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,missingness,Athlete-level outcomes and exact runner subgroup details NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,adverse_events,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,effect_estimate,Weekly organization remained explicit; adjustments were pragmatic,Weekly organization and flexible adjustment were both reported,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,uncertainty,Descriptive and partly retrospective; no causal comparison,Middle-distance events under six minutes excluded; descriptive design,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-007,RQ-A,limitations,All-male coaches; middle-distance under six minutes excluded; no exact nonweekly-cycle question; cannot establish standard 9.5-day practice,Counterevidence to claiming elite endurance practice abandons weeks; no efficacy inference,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,event,5000_M;10000_M;MARATHON,5000 m; 10000 m; marathon,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,competitive_level,WORLD_CLASS,World-class,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,season,MULTIPLE_ANNUAL_PHASES,Multiple phases,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,intervention,Narrative integration of scientific literature and results-proven practice,Typical training characteristics,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,comparator,NOT_APPLICABLE,No nonweekly comparator,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,component_dose,11-14 sessions per week; typical training weeks,11-14 sessions per week,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,component_order,WEEKLY_ORGANIZATION,Typical weekly organization,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,actual_interval_hours,NOT_REPORTED,168,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,outcome_domain,TRAINING_PRACTICE;SESSION_FREQUENCY,PRACTICE_DESCRIPTION,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,outcome_measure,Sessions per week and typical-week structures,Sessions per week and typical training weeks,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,instrument_protocol,FULL_TEXT_VERIFIED,Narrative integration of literature and results-proven practice,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,time_horizon,ANNUAL_PHASES,Long-term elite practice,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,time_points,NOT_REPORTED,Typical week,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,missingness,Sex-stratified details and exact source-level schedules NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,effect_estimate,Successful practice described in weekly units,Reports 11-14 sessions per week,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,uncertainty,Narrative selected-practice synthesis; no causal frame comparison,Narrative evidence and no frame comparison,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-008,RQ-A,limitations,Long-distance adults rather than youth 800/1500; no nonweekly comparison; weekly reporting may reflect source convention,Adult long-distance practice only; no 9.5-day efficacy or youth safety inference,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,event,MIDDLE_DISTANCE_RUNNING,Middle-distance running,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,competitive_level,ELITE_AND_INTERNATIONAL,Elite and international,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,season,NEAR_SEA_LEVEL_AND_ALTITUDE_CAMP,Altitude camp,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,intervention,Coach-prescribed near-sea-level then live-high train-high training,Live-high train-high camp periodization,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,comparator,Within-athlete context across near-sea-level and altitude; no frame comparator,No nonweekly comparator,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,component_dose,4 weeks near sea level and 3-4 weeks at 2100 m,Individual training quantified during camp,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,component_order,"Typical training week with athlete-specific changes by event, physiology, and altitude experience",Typical training week with event and altitude adjustments,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,actual_interval_hours,NOT_REPORTED,168,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,outcome_domain,TRAINING_QUANTIFICATION;PERIODIZATION;INDIVIDUALIZATION,PRACTICE_DESCRIPTION;LOAD_DESCRIPTION,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,outcome_measure,Weekly training characteristics and athlete-specific adjustments,Training quantification and individual adjustment,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,instrument_protocol,FULL_TEXT_VERIFIED observational logs,Observational cohort case study,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,time_horizon,7-8 WEEKS,Altitude-camp block,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,time_points,WEEKLY_REPORTING,Camp days and weeks,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,missingness,Adolescent stratum and nonweekly schedule NOT_REPORTED,NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,effect_estimate,Typical weekly organization coexisted with individual adjustment,Weekly structure coexisted with individual event and altitude adjustments,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,uncertainty,n=8 observational camp case; no comparator,n=8; altitude context; observational; no comparator,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,individual_response,Athlete-specific event and altitude changes reported,Individual adjustments described but not causally evaluated,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-009,RQ-A,limitations,Adult altitude-camp context; no 9/9.5/10-day frame; does not authorize efficacy or safety claims,"Does not authorize 9.5-day efficacy, safety, or a fixed MAIN count",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,event,RECREATIONAL_RUNNING_OVERLOAD,Recreational running overload study,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,age_range,18-49 years,18-49 years inclusion,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,competitive_level,RUNNERS_COMPLETING_AT_LEAST_20_MILES_PER_WEEK_AND_VO2_CRITERIA,At least 20 miles per week and VO2 criteria,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,season,OVERLOAD_EXPERIMENT,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,intervention,Approximately 9-9.5 consecutive days of supervised twice-daily intervals plus glutamine or placebo,Approximately 9-9.5 consecutive days of twice-daily supervised intervals plus glutamine or placebo,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,component_dose,Twice-daily intervals for approximately 9-9.5 consecutive days; five recovery days,Twice-daily intervals; exact session dose not used for frame inference,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,component_order,NOT_REPORTED,Repeated interval overload,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,actual_interval_hours,NOT_REPORTED,216_TO_228,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,outcome_domain,MUCOSAL_IMMUNITY;SUPPLEMENT_RESPONSE;COMPLIANCE,IMMUNE_BIOMARKER;COMPLIANCE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,outcome_measure,"Glutamine, nasal and salivary IgA, withdrawal, compliance",Nasal and salivary IgA; glutamine; compliance,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,instrument_protocol,FULL_TEXT_VERIFIED official journal page,Randomized supplement/placebo overload experiment,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,time_horizon,ABOUT_14_DAYS,Short overload and five recovery days,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,time_points,OVERLOAD_PERIOD_AND_5_RECOVERY_DAYS,Approximately 9-9.5 consecutive overload days,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,missingness,"Performance, coaching use, and recurring-cycle outcomes NOT_REPORTED",NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,effect_estimate,Primary supplement outcomes; 96% compliance,Primary mucosal-marker findings; compliance 96%,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,uncertainty,Very small sample; no seven-day comparator,n=13; supplement question; not a recurring microcycle; no frame comparator,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-010,RQ-A,limitations,"False-positive exact duration: consecutive overload exposure, not recurring microcycle; prohibited as evidence for 9.5-day Formation efficacy or safety",Exact-duration false positive; prohibited as evidence for 9.5-day Formation,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,event,MARATHON,Marathon,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,competitive_level,ELITE_PROFESSIONAL,Elite professional,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,season,2014_BOSTON_MARATHON_BUILD,Boston Marathon preparation,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,intervention,Retrospective athlete-described 9-day training cycle,Nine-day training cycle,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,component_dose,"One tempo run, one interval session, and one long run per 9-day cycle; other running adjusted by feel","One tempo, one interval, and one long run per nine-day cycle; other running by feel",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,component_order,TEMPO;INTERVAL;LONG_RUN across 9 days; exact dates NOT_REPORTED,Quality sessions distributed through cycle,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,actual_interval_hours,NOT_REPORTED,216,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,outcome_domain,PRACTICE_USE;PERFORMANCE_CONTEXT;SUBJECTIVE_RECOVERY_RATIONALE,PRACTICE_USE;SELF_REPORTED_PERFORMANCE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,outcome_measure,Named use of cycle; Boston win; 2:08:37 personal best context,Named cycle use; Boston win and 2:08:37 personal best context,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,instrument_protocol,OFFICIAL_WEBPAGE_VERIFIED athlete interview/report,In-person athlete interview/report,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,time_horizon,ONE_MARATHON_BUILD,Retrospective training practice,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,time_points,RETROSPECTIVE_REPORT,Nine-day cycle,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,missingness,"Exact daily dose, actual intervals, adherence, and adverse events NOT_REPORTED",NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,effect_estimate,Verified self-report of actual 9-day use; performance is context only,Verified self-report of actual nine-day use; no causal effect estimate,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,uncertainty,Single retrospective case; no causal attribution,Single retrospective case; adult marathon; injury-history context,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-011,RQ-A,limitations,Adult marathoner with injury-history context; no youth/middle-distance transfer and no exact 9.5-day use,"Performance cannot be attributed to the cycle; no youth, safety, or 9.5-day validation",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,population,"Michael Ko, adult recreational marathoner","Michael Ko, adult recreational male marathoner",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,event,MARATHON,Marathon,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,competitive_level,RECREATIONAL,Recreational,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,season,TOKYO_MARATHON_BUILD,Tokyo Marathon build,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,intervention,Self-programmed 9-day cycle,Nine-day self-programmed cycle,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,component_order,QUALITY;EASY;EASY repeated,Three quality exposures with two easy days between,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,separation_hours,Approximately 48 h between quality exposures by pattern; exact hours NOT_VERIFIED,48,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,actual_interval_hours,NOT_REPORTED,216,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,outcome_domain,PRACTICE_USE;SELF_REPORTED_PERFORMANCE;SUBJECTIVE_RECOVERY;ENJOYMENT,PRACTICE_USE;SELF_REPORTED_PERFORMANCE;ACCEPTABILITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,outcome_measure,Named use; reported 2:56 personal best; recovery and enjoyment,Named cycle use; personal best; subjective recovery and enjoyment,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,instrument_protocol,OFFICIAL_WEBPAGE_VERIFIED journalistic self-report,Journalistic report embedding athlete video/self-report,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,time_horizon,ONE_MARATHON_BUILD,Single marathon build,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,time_points,RETROSPECTIVE_REPORT,Nine-day cycle,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,missingness,"Exact age, full dose, actual intervals, and confounders NOT_REPORTED",NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,effect_estimate,Self-reported personal best and better recovery/enjoyment,Self-reported 2:56 personal best and better recovery/enjoyment,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,uncertainty,Single self-programmed case; concurrent training changes; weekday feasibility issues,Single case; concurrent changes; weekday feasibility concerns,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,individual_response,Single-athlete response only,Self-reported subjective response only,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-012,RQ-A,limitations,"Does not prove performance benefit, recovery completion, youth suitability, prevalence, or 9.5-day optimality/safety","Cannot establish causal benefit, recovery completion, youth suitability, or 9.5-day superiority",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,event,MARATHON;HALF_MARATHON;CROSS_COUNTRY,Marathon; half marathon; cross-country,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,competitive_level,ELITE_AND_RECREATIONAL,Elite and recreational runners; coaches,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,intervention,"Coach/athlete interviews plus 9-day, 10-day, and 14-day practice templates","Nine-, ten-, and fourteen-day templates and reported practice",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,comparator,No controlled comparator,No systematic comparator,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,component_dose,Template doses vary; Thom Hunt reported actual 10-day use,"Templates include quality, long-run, and recovery days",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,component_order,Template-specific; exact component order varies,Nonweekly ordering varies by example,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,separation_hours,A quoted 72 h preference; not physiological clearance,A quoted 72 h preference appears in source,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,actual_interval_hours,NOT_REPORTED,240,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,outcome_domain,PRACTICE_USE;SCHEDULING_FEASIBILITY;SOCIAL_CONSTRAINTS,PRACTICE_USE;FEASIBILITY;COUNTEREVIDENCE,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,outcome_measure,Named 10-day use; template existence; maintenance and schedule conflicts,Actual ten-day use; schedule and social collisions,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,instrument_protocol,OFFICIAL_WEBPAGE_VERIFIED,Coach and athlete interviews plus practice article,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,time_horizon,RETROSPECTIVE_AND_ADVICE,Training-cycle practice,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,time_points,NOT_REPORTED,"Nine-, ten-, and fourteen-day examples",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,missingness,"Measured outcomes, denominator, and actual interval histories NOT_REPORTED",NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,effect_estimate,Verified self-report of 10-day use and verified 9-day template; nonweekly schedules sometimes abandoned,Thom Hunt reports actual ten-day use; nine-day template only,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,uncertainty,Anecdotes and templates; no systematic sample or outcome testing,Anecdotal source; multiple templates; no outcome testing,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,individual_response,Reports difficulty maintaining 10-day routine and disruption of partners/social schedules,Training-partner and social-schedule disruption reported,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-013,RQ-A,limitations,"72 h is a stated preference only; cannot establish clearance, universal recovery, efficacy, safety, or prevalence","The 72 h statement is preference only, never clearance; no 9.5-day efficacy or safety inference",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,population,Distance runners; named Hansons Olympic Development Program and Ray Treacy athletes,Distance runners; named Hansons program and Ray Treacy athletes,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,event,DISTANCE_RUNNING,Distance running,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,competitive_level,ELITE_PROGRAM_ATHLETES_AND_RUNNERS_BROADLY,Elite program athletes and runners broadly,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,intervention,Coaching article reporting 10-day to two-week cycles,Reported ten-day to two-week cycles,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,comparator,No comparator,No verified comparator,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,component_dose,Hansons reportedly 10 days; Treacy reportedly 10 days to two weeks,NOT_VERIFIED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,component_order,NOT_REPORTED,Nonweekly practice described second hand,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,actual_interval_hours,NOT_REPORTED,240_TO_336,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,outcome_domain,REPORTED_PRACTICE_USE;COACHING_RATIONALE,PRACTICE_REPORT,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,outcome_measure,Third-party report of program cycle length and perceived scheduling/recovery benefits,Reported program use and scheduling rationale,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,instrument_protocol,OFFICIAL_WEBPAGE_VERIFIED,Coach-authored or journalistic practice article,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,time_horizon,NOT_REPORTED,Long-term practice report,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,time_points,NOT_REPORTED,Ten days to two weeks,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,missingness,"Athlete denominator, exact protocol, outcomes, and primary confirmation NOT_REPORTED",NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,effect_estimate,Reported 10-day use only; not primary verified,Third-party report of ten-day use; no measured effect,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,uncertainty,Third-party coaching article; unsupported benefit and injury language,"No primary opened protocol, denominator, or cohort outcomes",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-014,RQ-A,limitations,"Cannot support prevalence, efficacy, injury prevention, safety, or exact 9.5-day mechanics","Unsupported injury and benefit language excluded; no prevalence, efficacy, or safety evidence",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-015,RQ-A,event,MARATHON_SAMPLE_SCHEDULE,Marathon sample schedule,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-015,RQ-A,competitive_level,BROAD_RUNNER_POPULATION,Broad runner population,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-015,RQ-A,intervention,Coach-authored 9-day sample plan and 10-day extension advice,Coach-authored nine-day sample plan with ten-day mention,NOT_VERIFIED,PENDING_HUMAN
FRV2-A-015,RQ-A,component_dose,Long run; two quality sessions; easy/rest; strength/cross-training; recovery across 9 days,"Long run, two quality sessions, easy/rest, strength/cross-training, and recovery",NOT_VERIFIED,PENDING_HUMAN
FRV2-A-015,RQ-A,component_order,Template order reported on source page; actual-use order NOT_APPLICABLE,Nine-day template,NOT_VERIFIED,PENDING_HUMAN
